person_uuid,identifier_value,firstname,lastname,publication_list,first_letter,resolved_for,marked
25718,,Jennifer C,King,"[30877103, 33020472, 11658816, 20880819, 22744004, 17177598, 26908690, 35978334, 23544764, 26456313, 33011390, 29981259, 23460825, 22288767, 33693944, 34953674, 29228392, 24920676]",J,GB0010322,True
25774,,Jenny E,King,"[30483034, 16984000, 16777932, 27552781, 35443968, 32958578, 34338026, 35705262, 35035566, 15180968, 12965165, 29950911, 19220420, 28367401, 32056464, 29042846, 35118886, 33128873, 34295428, 33122312]",J,GB0010322,True
25804,,James Adam,King,"[15663417, 31919514, 25562575, 25237395, 34086343, 24097174, 18987287, 27999089, 25869477, 34459060, 33158948, 20152871, 31565876, 25963104, 31895295, 20953411, 28884014, 34389376, 35799298, 23855280, 33196606, 28511192, 33099498, 27103659, 23368821, 32872401, 34413157, 29240652, 31870345, 35606763, 32565123, 23624293, 30609109, 26819408, 31767581, 35441435, 32101582, 29220580, 36301599, 30765267, 31453723, 19952806, 31504106, 31310836, 29411128, 28594657, 26465216, 30889056, 23684131, 26438068, 34547171, 35863682, 25902785, 30131457, 35051962, 33348678, 35319136, 35266138, 35465798, 22691407, 28435687, 14745704, 27657127, 31132105, 28544202, 33328667, 23137828, 35150948, 36301615, 29624565, 21270331, 26549680, 34055711, 29271840, 33803843, 34985069, 35478064, 23855273, 33620552, 31738172, 30401004, 28637722]",J,GB0010322,True
26167,,John Andrew,King,"[34737386, 28550069, 35570261, 12542232, 26108683, 29911974, 28081125, 29984166, 24451539, 19605392, 25046971, 25278860, 23026765, 24993135, 16738653, 27787905, 25332938, 25667314, 21640126, 27703757, 18408152, 28632465, 27037483, 24028185, 24986155, 35378488, 33778048, 35778411, 18608371, 25657015, 22642370, 20810889, 30871859, 16703955, 25389766, 31129234, 28876153, 23702543, 32977211, 21777829, 19944642, 15291719, 23256159, 31617790, 17692727, 17434098, 23563359, 31527601, 25663161, 21699916, 25636201, 25538631, 36258079, 20202625, 31121601, 33493151, 27837006, 29704964, 22037694, 32393620, 12049925, 30733457, 32012193, 29326231, 35916343, 30673735, 19173228, 22712454, 17113812, 28717612, 28717615, 26234587, 16307895, 30759197, 24993136, 33087353, 19955012, 24117915, 32612571, 26224184, 31536787, 25446711, 32006158, 18608362, 18608403, 34566866, 12547691]",J,GB0010322,True
26169,,Jordan B,King,"[35834254, 31020929, 35040867, 32696695, 33112362, 29759749, 35665802, 31256717, 35089354]",J,GB0010322,True
26175,,Jonathan L,King,"[28542338, 26844919, 21196121, 25086874, 24997320, 31586814, 22821333]",J,GB0010322,True
19,GB0010352,Lorraine,Poole,[10935979],,GB0010352,True
28249,,Lori,Poole,"[34192055, 19254937, 29360287]",L,GB0010352,True
24,GB0010379,Graham,Smith,[],,GB0010379,True
7723,,Gregory,Smith,[],G,GB0010379,True
